rank,ticker,score,signal,confidence,stars
1,AAPL,100,BUY,80,5
2,NVDA,100,BUY,80,5
3,ETH-USD,100,BUY,80,5
4,META,75,BUY,80,3
5,BTC-USD,75,HOLD,20,3
6,TSLA,20,HOLD,50,1
7,MSFT,0,SELL,80,0
8,GOOGL,0,SELL,80,0
9,AMZN,0,SELL,80,0
